Attendance_Rate,Grades,Distance_to_School,Socioeconomic_Status,Parent_Education_Level,School_Resources,Behavioral_Issues,Loan_Approval_Need,Priority_Score
63,80,32.8,Middle,Bachelor's,Medium,No,Medium,47.62
75,52,6.5,Low,No High School,Low,No,High,52.65
77,82,34.3,Low,Postgraduate,Medium,Yes,Medium,52.47
72,84,4.7,Low,No High School,High,No,Medium,69.73
63,64,1.5,Middle,No High School,Medium,No,Medium,49.35
73,92,41.1,Low,High School,Medium,No,Low,64.59
51,81,10.5,Low,No High School,Medium,No,High,61.65
94,75,19.0,Low,High School,Medium,No,Low,66.3
75,66,48.7,High,Postgraduate,Low,No,High,39.03
63,77,16.8,Low,Bachelor's,Low,Yes,Medium,43.02
100,99,14.8,Middle,No High School,Medium,No,Medium,73.12
56,46,45.9,Low,No High School,Low,No,Medium,40.61
52,44,5.5,Low,Bachelor's,Low,Yes,Medium,27.65
96,82,38.0,Middle,Postgraduate,Medium,Yes,Medium,47.8
72,84,49.4,Low,High School,Medium,No,Low,60.26
95,97,45.1,Middle,High School,Low,Yes,Medium,47.79
92,96,32.6,High,No High School,Medium,No,Medium,67.74
96,90,15.7,Middle,Bachelor's,Low,No,High,58.23
94,70,12.7,Low,High School,Medium,No,Medium,64.93
67,62,41.0,Middle,No High School,Low,Yes,Low,30.8
87,81,44.0,Low,No High School,Low,No,Low,64.1
84,49,26.3,Middle,Bachelor's,Medium,No,Medium,42.17
100,71,12.2,Middle,No High School,Low,No,Low,57.18
64,82,5.6,Middle,No High School,Medium,Yes,Low,46.44
74,92,4.4,Low,High School,Low,No,High,63.56
86,69,36.0,Low,No High School,Low,No,Medium,59.8
77,78,21.0,Low,No High School,Medium,No,Medium,67.2
59,70,45.3,Middle,Bachelor's,Low,Yes,Low,26.17
88,57,37.0,Low,Bachelor's,Low,Yes,Medium,40.5
66,75,9.6,Low,Bachelor's,Low,No,Low,53.84
88,41,30.7,Middle,Bachelor's,Medium,No,Medium,39.73
71,53,21.8,Low,High School,High,Yes,Low,40.32
75,52,28.9,Low,Bachelor's,High,No,High,50.41
93,68,36.9,Low,No High School,Low,Yes,Medium,51.41
74,51,40.3,Low,High School,Low,Yes,Medium,33.57
66,78,42.2,Low,Postgraduate,Low,No,Medium,51.78
62,41,12.7,Low,No High School,Medium,No,Medium,48.73
69,71,1.6,Low,No High School,Low,No,Low,58.94
74,52,37.0,Low,High School,High,No,Medium,49.3
53,85,5.3,Middle,No High School,Low,No,Low,49.37
59,66,15.7,Low,No High School,High,No,High,57.53
52,88,0.2,Low,Bachelor's,Medium,No,High,60.78
